P/N,NTCG064BF473FTBX,,,,,
R25,47,kĦ +/-,1,%,,
B25/50,4050,K  +/- ,1,%,,
 ,,,,,,
Temp,Min,Nom,Max,B25/T, -dT,dT
(degC),(k ohm),(k ohm),(k ohm),(K),(degC),(degC)
114,1.83,1.909,1.991,4155,-1.5,1.5
115,1.778,1.855,1.935,4156,-1.5,1.5
116,1.727,1.802,1.88,4158,-1.5,1.6
117,1.678,1.752,1.829,4159,-1.6,1.6
118,1.631,1.703,1.778,4160,-1.6,1.6
119,1.585,1.656,1.729,4162,-1.6,1.6
120,1.541,1.61,1.682,4163,-1.6,1.6
121,1.498,1.566,1.636,4164,-1.6,1.6
122,1.457,1.523,1.592,4165,-1.7,1.7
123,1.416,1.481,1.548,4167,-1.7,1.7
124,1.378,1.441,1.507,4168,-1.7,1.7
125,1.34,1.402,1.467,4169,-1.7,1.7
